Method,Sensor,Representation,Year,Month,AP2D ,AP2D ,AP2D ,AP3D,AP3D,AP3D,APBEV,APBEV,APBEV,NuScenes,NuScenes,Waymo,Waymo,Time (s),Code,Hardware,Paper
,,,,,E,M,H,E,M,H,E,M,H,mAP,NDS,L1 mAP,L2 mAP,,,,
F-PointNet (Early)?,Multi-Modal,Early-Fusion,2017,,95.85,95.17,85.42,82.19,69.79,60.59,91.17,84.67,74.77,-,-,-,-,0.17,TRUE,GPU @ 3.0 Ghz (Python),https://arxiv.org/abs/1711.08488
F-ConvNet (Early)?,Multi-Modal,Early-Fusion,2019,,95.85,92.19,80.09,87.36,76.39,66.69,91.51,85.84,76.11,-,-,-,-,0.47,TRUE,GPU @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/1903.01864
F-PointPillars,Multi-Modal,Early-Fusion,2021,,-,-,-,,,,,,,,,,,0.06,TRUE,4 cores @ 3.0 Ghz (Python),https://openaccess.thecvf.com/content/ICCV2021W/AVVision/papers/Paigwar_Frustum-PointPillars_A_Multi-Stage_Approach_for_3D_Object_Detection_Using_RGB_ICCVW_2021_paper.pdf
General-Fusion,Multi-Modal,Early-Fusion,2018,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,-,
RoarNet,Multi-Modal,Early-Fusion,2018,,,,,,,,,,,-,-,-,-,,FALSE,,https://arxiv.org/abs/1811.03818
Complexer-YOLO,Multi-Modal,Early-Fusion,2019,,91.92,84.16,79.62,55.93,47.34,42.6,77.24,68.96,64.95,-,-,-,-,0.06,TRUE,GPU @ 3.5 Ghz (C/C++),https://arxiv.org/abs/1904.07537
PointPainting,Multi-Modal,Early-Fusion,2019,,98.39,92.58,89.71,82.11,71.7,67.08,92.45,88.11,83.36,-,-,-,-,0.4,FALSE,GPU @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/1911.10150
FusionPainting,Multi-Modal,Early-Fusion,2021,,,,,,,,,,,,,,,,FALSE,,https://arxiv.org/pdf/2106.12449
MVP,Multi-Modal,Early-Fusion,2021,,,,,,,,,,,,,,,,FALSE,,https://arxiv.org/abs/2111.06881
PointAugmenting,Multi-Modal,Early-Fusion,2021,,-,-,-,-,-,-,89.14,86.57,78.32,-,-,-,-,-,TRUE,-,https://openaccess.thecvf.com/content/CVPR2021/html/Wang_PointAugmenting_Cross-Modal_Augmentation_for_3D_Object_Detection_CVPR_2021_paper.html
VirConvNet,Multi-Modal,Early-Fusion,2023,,98,97.27,94.53,92.48,87.2,82.45,95.99,93.52,90.38,-,-,-,-,0.09,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2303.02314
HDF,Multi-Modal,Early-Fusion,2025,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,-,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10935618
MV3D,Multi-Modal,Mid-Fusion,2016,,96.47,90.83,78.63,74.97,63.63,54,86.62,78.93,69.8,,,,,0.36,TRUE,GPU @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/1611.07759
AVOD,Multi-Modal,Mid-Fusion,2017,,95.17,89.88,82.83,76.39,66.47,60.23,89.75,84.95,78.32,,,,,0.08,TRUE,Titan X (pascal),https://arxiv.org/abs/1712.02294
PointFusion,Multi-Modal,Mid-Fusion,2017,,,,,,,,,,,,,,,,FALSE,,https://arxiv.org/abs/1711.10871
ContFuse,Multi-Modal,Mid-Fusion,2018,,,,,83.68,68.78,61.67,94.07,85.35,75.88,,,,,0.06,FALSE,GPU @ 2.5 Ghz (Python),https://openaccess.thecvf.com/content_ECCV_2018/papers/Ming_Liang_Deep_Continuous_Fusion_ECCV_2018_paper.pdf
MVXNet,Multi-Modal,Mid-Fusion,2019,,,,,83.2,72.7,65.2,,,,,,,,,FALSE,,https://arxiv.org/abs/1904.01649
PI-RCNN,Multi-Modal,Mid-Fusion,2019,,96.17,92.66,87.68,84.37,74.82,70.03,91.44,85.81,81,,,,,0.1,FALSE,1 core @ 2.5 Ghz (Python),https://arxiv.org/abs/1911.06084
MCF3D,Multi-Modal,Mid-Fusion,2019,,,,,,,,,,,,,,,,FALSE,,https://ieeexplore.ieee.org/document/8756006
MMF,Multi-Modal,Intermediate,2020,,97.41,94.25,91.8,88.4,77.43,70.22,93.67,88.21,81.99,,,,,0.08,FALSE,GPU @ 2.5 Ghz (Python),https://arxiv.org/abs/2012.12397
3D-CVF,Multi-Modal,Intermediate,2020,,96.78,93.36,86.11,89.2,80.05,73.11,93.52,89.56,82.45,,,,,0.06,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2004.12636
EPNet,Multi-Modal,Intermediate,2020,Jul,96.15,94.44,89.99,89.81,79.28,74.59,94.22,88.47,83.69,-,-,-,-,0.1,TRUE,1 core @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/2007.08856
EPNet++,Multi-Modal,Intermediate,2021,,96.73,95.17,92.1,91.37,81.96,76.71,95.41,89,85.73,,,,,0.1,FALSE,GPU @ 2.5 Ghz (Python),https://arxiv.org/abs/2112.11088
TransFusion,Multi-Modal,Intermediate,2022,,,,,,,,,,,0.689 0.717,,,,,FALSE,,https://arxiv.org/abs/2203.11496
BEVFusion,Multi-Modal,Intermediate,2022,,,,,,,,,,,,,,,,FALSE,,https://arxiv.org/abs/2205.13542
FUTR3D,Multi-Modal,Intermediate,2022,,,,,,,,,,,0.694 0.721,,,,,FALSE,,
